Date,Details,Beach Name/Location,Organization,Items,Volunteer Hours,Weight
12/31/2017,Recap,Hilton Head Island,Individual (1118),50,0.75,1.92
12/30/2017,Recap,Hilton Head Island,Individual (1118),44,0.75,0.55
12/28/2017,Recap,Hilton Head Island,Individual (1118),15,0.25,2.74
12/27/2017,Recap,Hilton Head Island,Individual (1118),48,0.5,0.39
12/26/2017,Recap,Hilton Head Island,Individual (1118),18,0.5,3.43
12/24/2017,Recap,Hilton Head Island,Individual (1118),21,0.5,2.41
12/23/2017,Recap,Hilton Head Island,Individual (1118),28,0.5,2.27
12/22/2017,Recap,Hilton Head Island,Individual (1118),27,0.5,2.35
12/21/2017,Recap,Hilton Head Island,Individual (1118),67,0.75,2.04
12/20/2017,Recap,Hilton Head Island,Individual (1442),30,0.75,4.09
12/19/2017,Recap,Hilton Head Island,Individual (1118),21,0.5,0.35
12/19/2017,Recap,Port Royal Sands Beach,Individual (1410),13,0.75,0.29
12/18/2017,Recap,Hilton Head Island,Individual (1118),15,0.25,2.13
12/17/2017,Recap,Hilton Head Island,Individual (1118),34,0.5,0.85
12/17/2017,Recap,North Myrtle Beach,Individual (1314),77,0.5,1.07
12/16/2017,Recap,Sullivans Island,Individual (1402),117,1.75,10.17
12/15/2017,Recap,Hilton Head Island,Individual (1118),42,1,1.17
12/13/2017,Recap,Hilton Head Island,Individual (1118),33,0.5,4.04
12/11/2017,Recap,Hilton Head Island,Individual (1118),39,4.75,3.49
12/10/2017,Recap,Hilton Head Island,Individual (1118),23,0.75,0.83
12/08/2017,Recap,Hilton Head Island,Individual (1118),95,0.5,0.77
12/07/2017,Recap,Hilton Head Island,Individual (1118),84,0.5,1.27
12/06/2017,Recap,Hilton Head Island,Individual (1118),157,0.75,2.58
12/05/2017,Recap,Hilton Head Island,Individual (1442),112,6.75,6.69
12/03/2017,Recap,Hilton Head Island,Individual (1118),202,2.25,5.85
12/02/2017,Recap,Hilton Head Island,Individual (1118),80,1,1.15
12/01/2017,Recap,Hilton Head Island,Individual (1118),27,0.5,0.56
12/01/2017,Recap,North Myrtle Beach,Individual (1109),24,1,1.34
11/30/2017,Recap,Hilton Head Island,Individual (1118),57,1,4.74
11/29/2017,Recap,Hilton Head Island,Individual (1118),17,0.5,1.11
11/28/2017,Recap,Hilton Head Island,Individual (1118),92,1,5.85
11/28/2017,Recap,Surfside Beach,Individual (1298),1,0,0.14
11/27/2017,Recap,Hilton Head Island,Individual (1118),34,1,3.66
11/27/2017,Recap,Surfside Beach,Individual (1298),3,0.5,0.3
11/26/2017,Recap,Hilton Head Island,Individual (1118),43,0.5,5.04
11/25/2017,Recap,Hilton Head Island,Individual (1138),31,1,0.77
11/25/2017,Recap,North Myrtle Beach,Individual (1149),147,0.5,2.04
11/24/2017,Recap,Hilton Head Island,Individual (1118),47,0.5,1.03
11/22/2017,Recap,Hilton Head Island,Individual (1118),217,1.25,5.63
11/21/2017,Recap,Hilton Head Island,Individual (1118),106,1,2.81
11/20/2017,Recap,Hilton Head Island,Individual (1118),31,0.5,1.36
11/19/2017,Recap,Hilton Head Island,Individual (1118),28,0.5,0.43
11/18/2017,Recap,Hilton Head Island,Individual (1118),85,0.75,5.55
11/17/2017,Recap,Hilton Head Island,Individual (1118),22,0.75,0.51
11/15/2017,Recap,Hilton Head Island,Individual (1138),15,1,0.76
11/13/2017,Recap,Surfside Beach,Individual (1298),7,1,0.16
11/04/2017,Recap,Hilton Head Island,Individual (1138),32,0.5,0.41
11/03/2017,Recap,Port Royal Sands Beach,Individual (1410),27,0.75,1.44
11/01/2017,Recap,Hilton Head Island,Individual (1118),128,1.75,1.53
10/31/2017,Recap,Hilton Head Island,Individual (1118),46,0.75,0.76
10/30/2017,Recap,Hilton Head Island,Individual (1118),33,1,0.78
10/29/2017,Recap,Hilton Head Island,Individual (1118),82,4.25,4.09
10/28/2017,Recap,Hilton Head Island,Individual (1118),52,1.25,4.63
10/27/2017,Recap,Hilton Head Island,Individual (1118),56,1.25,5.17
10/26/2017,Recap,Hilton Head Island,Individual (1442),66,1.25,4.35
10/23/2017,Recap,Hilton Head Island,Individual (1118),45,1,1.07
10/22/2017,Recap,Hilton Head Island,Individual (1118),205,8.5,3.94
10/21/2017,Recap,Hilton Head Island,Individual (1442),191,2,10.76
10/21/2017,Recap,Hilton Head Island,1746,162,2.5,9.36
10/21/2017,Recap,Sullivans Island,Individual (1285),153,11,5.19
10/21/2017,Recap,Surfside Beach,1931,311,13.5,5.48
10/20/2017,Recap,Hilton Head Island,Individual (1118),60,1.25,3.02
10/19/2017,Recap,Hilton Head Island,Individual (1442),133,9.75,3.55
10/18/2017,Recap,Hilton Head Island,Individual (1118),136,1.5,4.73
10/18/2017,Recap,Surfside Beach,Individual (1298),2,0.5,0.02
10/17/2017,Recap,Hilton Head Island,Individual (1118),371,9.75,9.63
10/16/2017,Recap,Hilton Head Island,Individual (1118),110,2.75,8.67
10/15/2017,Recap,Hilton Head Island,Individual (1118),80,1.25,11.14
10/15/2017,Recap,Port Royal Sands Beach,Individual (1410),31,0.75,1.88
10/15/2017,Recap,Pritchard's Island,Individual (1457),162,4.5,10.49
10/14/2017,Recap,Hilton Head Island,Individual (1118),155,9.75,5.93
10/14/2017,Recap,Surfside Beach,Individual (1298),2,0.25,0.02
10/13/2017,Recap,Hilton Head Island,Individual (1118),130,1.25,11.18
10/13/2017,Recap,North Myrtle Beach,Individual (1109),24,1,1.63
10/12/2017,Recap,Hilton Head Island,Individual (1118),306,11.5,9.26
10/11/2017,Recap,Hilton Head Island,Individual (1118),432,8.5,11.73
