Date,Details,Beach Name/Location,Organization,Items,Volunteer Hours,Weight
12/30/2016,Recap,Surfside Beach,Individual (1298),7,0.75,0.16
12/29/2016,Recap,Surfside Beach,Individual (1298),6,0.75,0.26
12/11/2016,Recap,Sullivans Island,1665,64,5,3.97
12/08/2016,Recap,Sullivans Island,1549,327,21,17.59
11/26/2016,Recap,Sullivans Island,1665,73,7,3.2
11/13/2016,Recap,Hilton Head Island,1860,250,0.75,17.11
11/08/2016,Recap,Briarcliffe Acres,1797,120,0.75,3.26
11/06/2016,Recap,Hilton Head Island,Individual (1138),51,0.5,6.7
11/03/2016,Recap,Hilton Head Island,Individual (1138),50,0.25,7.64
10/24/2016,Recap,Hilton Head Island,Individual (1138),31,0.5,3.93
09/24/2016,Recap,Hilton Head Island,Individual (1138),367,1.5,3.75
09/04/2016,Recap,Hilton Head Island,Individual (1138),53,0.75,2.04
08/31/2016,Recap,Hilton Head Island,Individual (1138),944,14,9.2
08/27/2016,Recap,Garden City Beach,Individual (1033),18,10,0.83
08/27/2016,Recap,Myrtle Beach,Individual (1442),125,2.75,2.98
08/27/2016,Recap,Myrtle Beach,1900,60,8,0.9
08/27/2016,Recap,Surfside Beach,Individual (1442),1030,52.25,17.52
08/27/2016,Recap,Surfside Beach,1799,5313,145.5,114.33
08/15/2016,Recap,Hilton Head Island,Individual (1138),392,1.75,8.92
08/10/2016,Recap,Briarcliffe Acres,1797,95,3,3.52
07/29/2016,Recap,Sullivans Island,1985,223,4.25,8.75
07/29/2016,Recap,Sullivans Island,Individual (1402),34,0.75,2.84
07/07/2016,Recap,Isle of Palms,1524,28,3.25,1.52
07/05/2016,Recap,Folly Beach,1532,243,14.5,11.95
06/27/2016,Recap,Hilton Head Island,1549,151,2.25,4.43
06/26/2016,Recap,Hilton Head Island,Individual (1138),48,0.5,0.62
06/17/2016,Recap,Sullivans Island,1611,1897,53.75,59.32
06/16/2016,Recap,Hilton Head Island,Individual (1138),126,0.75,1.29
06/15/2016,Recap,Folly Beach,1611,1065,14.75,40.24
05/31/2016,Recap,Folly Beach,1532,302,24,3.97
05/31/2016,Recap,Garden City Beach,1910,8,14,0.26
05/31/2016,Recap,Hilton Head Island,Individual (1138),49,1,2.41
05/30/2016,Recap,Hilton Head Island,Individual (1138),71,0.75,2.34
05/27/2016,Recap,Hilton Head Island,Individual (1138),79,1,0.53
05/24/2016,Recap,Hilton Head Island,Individual (1138),54,0.5,0.44
05/20/2016,Recap,Hilton Head Island,Individual (1138),63,0.75,0.97
05/17/2016,Recap,Hilton Head Island,Individual (1138),52,0.5,0.53
05/13/2016,Recap,Hilton Head Island,Individual (1138),44,0.25,0.52
05/11/2016,Recap,Hilton Head Island,Individual (1138),36,0.25,1.31
05/05/2016,Recap,Hilton Head Island,Individual (1138),28,0.25,0.67
05/04/2016,Recap,Hilton Head Island,Individual (1138),26,0.25,0.26
04/23/2016,Recap,Hilton Head Island,1746,832,22.5,25.01
04/23/2016,Recap,Sullivans Island,1827,1005,47.25,37.65
04/16/2016,Recap,Folly Beach,1708,114,60,1.72
