Date,Details,Beach Name/Location,Organization,Items,Volunteer Hours,Weight
06/14/2019,Recap,Hunting Island,1920,2,0.5,0.92
06/12/2019,Recap,Hunting Island,Individual (1439),7,1.75,0.6
06/11/2019,Recap,Hunting Island,1920,9,0.75,0.66
06/11/2019,Recap,Windy Hill Beach,Individual (1208),152,1.25,17.64
06/09/2019,Recap,Hunting Island,1920,2,5,0.02
06/09/2019,Recap,Hunting Island,Individual (1325),27,0.75,3.71
06/08/2019,Recap,Hunting Island,1920,28,0.25,2.16
06/08/2019,Recap,Sullivans Island,1501,129,3.25,6.66
06/07/2019,Recap,Hunting Island,1920,66,4,2.23
06/05/2019,Recap,Hunting Island,1920,14,5.25,0.79
06/05/2019,Recap,Hunting Island,Individual (1439),28,1.25,4.82
06/04/2019,Recap,Hunting Island,Individual (1339),45,0.25,2.14
06/02/2019,Recap,Hunting Island,1920,24,3.25,1.19
06/02/2019,Recap,Sullivans Island,1520,10,4.5,0.14
06/01/2019,Recap,Hunting Island,1920,6,0.25,1.44
06/01/2019,Recap,Hunting Island,Individual (1390),11,1.25,1.31
06/01/2019,Recap,Isle of Palms,1853,76,5.5,2.56
06/01/2019,Recap,Myrtle Beach,1848,7,0.5,0.4
06/01/2019,Recap,Myrtle Beach,1751,125,2,2.24
05/31/2019,Recap,Hunting Island,1920,35,2.25,3.59
05/31/2019,Recap,Hunting Island,Individual (1181),47,1.75,3.7
05/31/2019,Recap,Pritchard's Island,Individual (1457),20,1,0.59
05/30/2019,Recap,Hunting Island,1920,11,2,0.73
05/29/2019,Recap,Hunting Island,1920,26,1.25,0.52
05/29/2019,Recap,Hunting Island,Individual (1439),8,1.75,0.57
05/28/2019,Recap,Hunting Island,1920,101,1.25,7.52
05/28/2019,Recap,Hunting Island,Individual (1442),30,0.5,1.01
05/28/2019,Recap,Windy Hill Beach,Individual (1208),280,2.5,10.26
05/26/2019,Recap,Hunting Island,1920,84,8.5,9.9
05/25/2019,Recap,Hunting Island,1920,9,0.25,1.49
05/25/2019,Recap,Hunting Island,Individual (1442),17,1.75,2.25
05/24/2019,Recap,Hunting Island,1920,6,0.25,0.46
05/24/2019,Recap,Hunting Island,Individual (1108),2,2.25,0.07
05/23/2019,Recap,Hilton Head Island,1889,162,21.75,5.54
05/23/2019,Recap,Hunting Island,1920,22,10,0.57
05/22/2019,Recap,Hunting Island,1920,6,2,0.96
05/22/2019,Recap,Hunting Island,Individual (1442),36,4.75,3.19
05/21/2019,Recap,Hunting Island,1920,19,1.5,2.13
05/21/2019,Recap,Hunting Island,Individual (1339),7,0.25,0.61
05/21/2019,Recap,Atlantic Beach,Individual (1109),6,0.5,0.07
05/20/2019,Recap,Hunting Island,1920,83,4,7.67
05/19/2019,Recap,Hunting Island,1920,82,5.25,7.08
05/18/2019,Recap,Hunting Island,1920,7,0.5,1.61
05/18/2019,Recap,Hunting Island,Individual (1390),2,1,0.02
05/18/2019,Recap,Pritchard's Island,Individual (1457),21,0.5,0.25
05/17/2019,Recap,Folly Beach,1979,404,7.5,21.7
05/17/2019,Recap,Hilton Head Island,Individual (1118),30,0.25,1.68
05/17/2019,Recap,Hunting Island,1920,25,5.25,1.3
05/16/2019,Recap,Hunting Island,1920,7,0.5,1.06
05/15/2019,Recap,Hunting Island,1920,9,2.75,2.16
05/15/2019,Recap,Hunting Island,Individual (1439),16,2.75,3.87
05/14/2019,Recap,Hunting Island,1920,10,7.5,2.2
05/14/2019,Recap,Windy Hill Beach,Individual (1208),103,2,3.34
05/13/2019,Recap,Hunting Island,1920,12,1.5,2.04
05/12/2019,Recap,Hunting Island,1920,43,3,3.99
05/12/2019,Recap,Sullivans Island,1520,22,3.5,0.64
05/11/2019,Recap,Hunting Island,1920,21,0.5,2.33
05/11/2019,Recap,Hunting Island,Individual (1390),3,1,0.06
05/11/2019,Recap,Isle of Palms,1589,435,0.25,15.42
05/10/2019,Recap,Hunting Island,1920,50,5,3.27
05/09/2019,Recap,Folly Beach,Individual (1040),43,0.25,1.83
05/09/2019,Recap,Hilton Head Island,1738,7,0.25,0.07
05/09/2019,Recap,Hunting Island,1920,18,4.75,1.34
05/08/2019,Recap,Hunting Island,1920,19,19.25,2.51
05/07/2019,Recap,Folly Beach,1985,7,0.25,0.69
05/07/2019,Recap,Hunting Island,1920,95,20.25,5
05/06/2019,Recap,Hunting Island,1920,11,1.5,0.32
05/05/2019,Recap,Hunting Island,1920,13,10,0.06
05/04/2019,Recap,Folly Beach,1918,131,0.25,5.45
05/04/2019,Recap,Hunting Island,1920,22,0.25,2.82
05/04/2019,Recap,Hunting Island,Individual (1491),29,2,4.28
05/04/2019,Recap,Pritchard's Island,Individual (1457),18,0.5,1.26
05/03/2019,Recap,Hunting Island,1920,19,6.25,0.54
05/03/2019,Recap,Hunting Island,Individual (1433),5,1.25,0.03
05/02/2019,Recap,Hunting Island,1920,46,2.25,2.31
05/02/2019,Recap,Hunting Island,Individual (1457),13,0.5,0.69
05/01/2019,Recap,Hunting Island,1920,35,1.5,2.43
04/30/2019,Recap,Windy Hill Beach,Individual (1208),51,0.5,4.19
04/28/2019,Recap,Folly Beach,1979,67,4.25,5.93
04/27/2019,Recap,Hunting Island,Individual (1491),3,0.25,0.96
04/27/2019,Recap,North Myrtle Beach,1918,555,8.75,30.15
04/27/2019,Recap,Sullivans Island,1941,133,72.5,12.52
04/27/2019,Recap,Atlantic Beach,Individual (1442),243,7.75,4.41
04/27/2019,Recap,Windy Hill Beach,1622,1407,3,110.23
04/22/2019,Recap,Folly Beach,1979,529,6.25,15.73
04/14/2019,Recap,Sullivans Island,Individual (1288),185,1.75,9.16
04/11/2019,Recap,Hilton Head Island,1794,52,0.75,1
04/06/2019,Recap,Folly Beach,1974,755,10,29.8
03/30/2019,Recap,Isle of Palms,1706,87,6,6.33
03/29/2019,Recap,Windy Hill Beach,Individual (1208),128,2.5,1.27
03/27/2019,Recap,Hilton Head Island,Individual (1130),1,0.25,0
03/23/2019,Recap,Isle of Palms,1574,24,15,1.01
03/23/2019,Recap,Sullivans Island,1542,118,11.25,15.28
03/20/2019,Recap,Isle of Palms,Individual (1490),100,0.25,0.44
03/18/2019,Recap,Sullivans Island,Individual (1405),56,1.5,5.69
03/16/2019,Recap,Sullivans Island,Individual (1405),63,8.25,5.19
03/15/2019,Recap,North Myrtle Beach,Individual (1314),54,0.5,1.61
03/13/2019,Recap,Hilton Head Island,1889,312,5.5,21.26
03/02/2019,Recap,North Myrtle Beach,Individual (1109),19,0.5,0.84
02/24/2019,Recap,Folly Beach,1979,213,5,4.78
02/24/2019,Recap,North Myrtle Beach,Individual (1314),22,0.25,0.57
02/16/2019,Recap,Folly Beach,Individual (1246),4,0.75,0.13
02/06/2019,Recap,Windy Hill Beach,Individual (1208),43,0.75,1.17
02/02/2019,Recap,Isle of Palms,1853,53,16,4.51
01/29/2019,Recap,North Myrtle Beach,Individual (1149),48,0.5,0.55
01/26/2019,Recap,Folly Beach,1979,57,35,2.87
01/25/2019,Recap,Folly Beach,1979,204,2.5,1.51
01/24/2019,Recap,Folly Beach,1979,75,0,0.33
01/06/2019,Recap,Hilton Head Island,Individual (1118),20,1.25,0.13
