Date,Details,Beach Name/Location,Organization,Items,Volunteer Hours,Weight
12/24/2019,Recap,Windy Hill Beach,Individual (1208),223,2,5.02
12/11/2019,Recap,North Myrtle Beach,Individual (1109),13,0.5,0.84
11/23/2019,Recap,Sullivans Island,1542,180,7.25,13.42
11/21/2019,Recap,Windy Hill Beach,Individual (1208),212,1.5,5.46
11/02/2019,Recap,Isle of Palms,1589,274,19.5,13.74
10/29/2019,Recap,Folly Beach,1628,191,178,8.39
10/29/2019,Recap,Folly Beach,Individual (1442),59,5.5,4.67
10/26/2019,Recap,Isle of Palms,1706,48,3.75,3.41
10/25/2019,Recap,Windy Hill Beach,Individual (1208),317,2.25,5.24
10/13/2019,Recap,Folly Beach,1979,154,1.75,6.59
10/12/2019,Recap,Folly Beach,1979,432,3.75,17.89
10/12/2019,Recap,Sullivans Island,1501,81,2.5,13.05
10/12/2019,Recap,Windy Hill Beach,1622,1342,15.75,73.78
10/07/2019,Recap,Surfside Beach,Individual (1158),948,6.25,15.81
10/06/2019,Recap,Folly Beach,1869,562,6,9.94
10/05/2019,Recap,Folly Beach,1979,1,8,0
10/05/2019,Recap,Myrtle Beach,1505,2,7.5,0.02
10/05/2019,Recap,North Myrtle Beach,1918,848,42.75,45.03
10/05/2019,Recap,North Myrtle Beach,Individual (1442),563,4.5,7.74
10/05/2019,Recap,Atlantic Beach,Individual (1442),23,1.5,0.53
10/04/2019,Recap,Folly Beach,1979,73,3.75,1.46
10/03/2019,Recap,North Myrtle Beach,Individual (1109),10,0.5,1.02
09/29/2019,Recap,Hunting Island,Individual (1003),17,121,2.65
09/22/2019,Recap,Hunting Island,1920,4,0.75,1.03
09/21/2019,Recap,Windy Hill Beach,Individual (1208),349,1.5,5.14
09/15/2019,Recap,Hunting Island,1920,127,1,3.62
09/14/2019,Recap,Folly Beach,1869,90,8.5,5.45
09/14/2019,Recap,Windy Hill Beach,Individual (1208),456,1.75,4.84
09/10/2019,Recap,Sullivans Island,1762,35,10,0.97
08/31/2019,Recap,Hunting Island,1920,7,0.5,0.63
08/31/2019,Recap,Hunting Island,Individual (1390),1,0.25,0.03
08/31/2019,Recap,Windy Hill Beach,Individual (1208),327,1.5,6.78
08/30/2019,Recap,Hunting Island,1920,9,1,1.23
08/28/2019,Recap,Hunting Island,1920,1,0.75,0.08
08/28/2019,Recap,Hunting Island,Individual (1439),2,0.25,0.02
08/26/2019,Recap,Folly Beach,Individual (1406),90,4,3.45
08/25/2019,Recap,Hunting Island,1920,6,0.5,0.25
08/25/2019,Recap,Hunting Island,Individual (1003),10,1.5,1.51
08/24/2019,Recap,Hunting Island,Individual (1390),5,1.75,0.31
08/24/2019,Recap,Isle of Palms,1869,177,2.5,3.51
08/23/2019,Recap,Sullivans Island,Individual (1016),11,0.25,0.3
08/22/2019,Recap,Windy Hill Beach,Individual (1208),207,1.25,9.47
08/21/2019,Recap,Hunting Island,1920,8,10.5,0.1
08/20/2019,Recap,Morris Island,1821,53,20,6
08/18/2019,Recap,Hunting Island,Individual (1442),17,1.5,2.29
08/17/2019,Recap,Hunting Island,1920,6,0.75,1.07
08/17/2019,Recap,Hunting Island,Individual (1390),5,1.25,0.49
08/15/2019,Recap,Hunting Island,Individual (1457),2,0.5,0.11
08/15/2019,Recap,Surfside Beach,1609,319,4.75,12.06
08/14/2019,Recap,Hunting Island,Individual (1439),14,1.75,0.06
08/11/2019,Recap,Hunting Island,1920,43,0.25,3.89
08/11/2019,Recap,Hunting Island,Individual (1003),40,1.75,1.08
08/10/2019,Recap,Hunting Island,1920,42,1,2.77
08/07/2019,Recap,Hunting Island,1920,17,6,2.28
08/07/2019,Recap,Hunting Island,Individual (1439),22,1.75,7.59
08/07/2019,Recap,Surfside Beach,1850,184,9,8.85
08/06/2019,Recap,Hunting Island,1920,24,1,0.58
08/04/2019,Recap,Hunting Island,1920,56,1,2.51
08/03/2019,Recap,Hunting Island,1920,16,0.25,2.77
08/02/2019,Recap,Hilton Head Island,1714,295,4,11.9
08/02/2019,Recap,Hunting Island,1920,34,19.5,1.97
08/02/2019,Recap,North Myrtle Beach,Individual (1109),38,1,2.06
07/31/2019,Recap,Hunting Island,1920,6,6,0.17
07/30/2019,Recap,Hunting Island,1920,104,1.75,4.95
07/29/2019,Recap,Hunting Island,1920,16,0.75,0.15
07/29/2019,Recap,Myrtle Beach,1848,3,0.25,0.16
07/29/2019,Recap,Windy Hill Beach,Individual (1208),552,2,11.71
07/28/2019,Recap,Hunting Island,1920,37,0.75,2.07
07/28/2019,Recap,Hunting Island,Individual (1003),61,3,5.73
07/28/2019,Recap,Waties Island,Individual (1197),16,0.25,0.65
07/26/2019,Recap,Hunting Island,1920,3,3,0.46
07/24/2019,Recap,Hunting Island,1920,6,6,0.98
07/24/2019,Recap,Hunting Island,Individual (1439),6,0.75,0.44
07/23/2019,Recap,Folly Beach,1979,241,0.25,5.29
07/23/2019,Recap,Hunting Island,Individual (1299),85,1.25,3.98
07/21/2019,Recap,Hunting Island,1920,5,0.75,1.21
07/20/2019,Recap,Hunting Island,1920,16,1.25,2.66
07/19/2019,Recap,Hunting Island,1920,7,0.5,0.92
07/19/2019,Recap,Hunting Island,Individual (1108),3,15.75,0.11
07/18/2019,Recap,Folly Beach,1921,550,8.75,13.69
07/17/2019,Recap,Hunting Island,1920,22,3,4.18
07/16/2019,Recap,Hunting Island,1920,1,0,0.01
07/15/2019,Recap,Windy Hill Beach,Individual (1208),340,1.75,11.6
07/14/2019,Recap,Hilton Head Island,1714,2,0.25,0.92
07/14/2019,Recap,Hunting Island,1920,33,1.5,3.6
07/14/2019,Recap,Hunting Island,Individual (1003),26,3,2.41
07/13/2019,Recap,Hunting Island,1920,11,0.75,0.57
07/12/2019,Recap,Hunting Island,1920,10,1,2.12
07/12/2019,Recap,Hunting Island,Individual (1108),13,1.5,0.24
07/12/2019,Recap,Pritchard's Island,Individual (1457),37,1.5,1.37
07/11/2019,Recap,Hunting Island,1920,10,11.25,0.24
07/10/2019,Recap,Hunting Island,Individual (1439),39,2,0.65
07/09/2019,Recap,Hunting Island,Individual (1339),36,0.25,1.18
07/08/2019,Recap,Hunting Island,1920,26,1,1.72
07/08/2019,Recap,Pritchard's Island,Individual (1457),14,0.5,0.48
07/07/2019,Recap,Hunting Island,1920,45,2.25,2.96
07/07/2019,Recap,Hunting Island,Individual (1146),6,1.5,0.11
07/06/2019,Recap,Hunting Island,1920,182,1.5,13.89
07/06/2019,Recap,Hunting Island,Individual (1390),8,0.5,0.3
07/06/2019,Recap,Myrtle Beach,Individual (1100),32,0.5,1.06
07/06/2019,Recap,Pritchard's Island,1799,24,0.25,0.41
07/05/2019,Recap,Folly Beach,1979,4886,1,52.92
07/05/2019,Recap,Folly Beach,Individual (1325),11,0.25,0.42
07/05/2019,Recap,Hunting Island,1920,20,0.25,1.88
07/04/2019,Recap,Edisto Beach,Individual (1003),1,0.25,0.01
07/04/2019,Recap,Myrtle Beach,Individual (1100),32,1.5,0.56
07/04/2019,Recap,Pritchard's Island,Individual (1003),5,0.25,0.28
07/03/2019,Recap,Harbor Island,Individual (1112),1,4,0.88
07/03/2019,Recap,Hunting Island,Individual (1442),64,0.75,3.64
07/02/2019,Recap,Hunting Island,Individual (1339),11,0.25,0.21
07/01/2019,Recap,Hunting Island,1920,27,1,0.54
07/01/2019,Recap,North Myrtle Beach,Individual (1109),16,1,0.27
06/30/2019,Recap,Hunting Island,1920,15,15,0.45
06/30/2019,Recap,Hunting Island,Individual (1325),7,1,0.15
06/29/2019,Recap,Hunting Island,1920,21,0.5,0.27
06/29/2019,Recap,Hunting Island,Individual (1390),7,1.25,1.16
06/28/2019,Recap,Hunting Island,1920,37,8,3.83
06/28/2019,Recap,Hunting Island,Individual (1108),17,2,1.17
06/26/2019,Recap,Hunting Island,1920,41,12.75,4.03
06/26/2019,Recap,Hunting Island,Individual (1439),1,1.25,0
06/25/2019,Recap,Myrtle Beach,Individual (1186),224,10,12.22
06/25/2019,Recap,Windy Hill Beach,Individual (1208),84,0.75,2.36
06/24/2019,Recap,Hunting Island,1920,67,0.75,3.2
06/24/2019,Recap,Atlantic Beach,Individual (1314),43,0.25,5.55
06/23/2019,Recap,Hunting Island,1920,26,4.25,3.71
06/22/2019,Recap,Hunting Island,1920,41,36,2.35
06/21/2019,Recap,Hunting Island,1920,51,5.5,2.45
06/21/2019,Recap,Isle of Palms,Individual (1248),20,16,0.9
06/21/2019,Recap,Pritchard's Island,Individual (1457),14,0.5,0.34
06/20/2019,Recap,Hunting Island,1920,31,5,2
06/19/2019,Recap,Hunting Island,1920,50,3,3.46
06/18/2019,Recap,Hunting Island,1920,3,1,0.04
06/17/2019,Recap,Hunting Island,1920,112,1.25,5.85
06/16/2019,Recap,Hunting Island,1920,59,2.75,5.17
06/15/2019,Recap,Hunting Island,1920,66,0.5,12.47
06/15/2019,Recap,Hunting Island,Individual (1390),8,0.75,1.05
