Date,Details,Beach Name/Location,Organization,Items,Volunteer Hours,Weight
12/31/2020,Recap,Isle of Palms,1922,16,1,0.61
12/15/2020,Recap,North Myrtle Beach,Individual (1109),18,1,0.67
11/21/2020,Recap,Isle of Palms,1922,44,3,0.22
11/20/2020,Recap,North Myrtle Beach,Individual (1109),9,1,0.25
11/07/2020,Recap,Folly Beach,1979,272,22.5,13.18
11/07/2020,Recap,Folly Beach,Individual (1245),44,3.25,1.91
11/05/2020,Recap,Folly Beach,1887,272,8,15.09
11/05/2020,Recap,Port Royal Sands Beach,1803,67,48,7.93
11/05/2020,Recap,Port Royal Sands Beach,Individual (1442),18,15.25,1.76
11/01/2020,Recap,Sullivans Island,Individual (1434),145,6.25,18.49
11/01/2020,Recap,Sullivans Island,1748,11,2,0.69
10/31/2020,Recap,Isle of Palms,1922,12,3,0.56
10/30/2020,Recap,Sullivans Island,1610,1323,6.25,71.52
10/26/2020,Recap,Isle of Palms,Individual (1442),654,4.5,12.81
10/26/2020,Recap,North Myrtle Beach,Individual (1109),11,1,0.43
10/24/2020,Recap,Sullivans Island,1542,176,9,14.52
10/17/2020,Recap,Folly Beach,Individual (1494),529,5,8.91
09/21/2020,Recap,North Myrtle Beach,Individual (1109),21,0.5,1.97
09/08/2020,Recap,Isle of Palms,1922,49,1.75,3.28
09/03/2020,Recap,Isle of Palms,1922,64,1.25,4.41
08/29/2020,Recap,Sullivans Island,1869,421,6,6.77
08/28/2020,Recap,Myrtle Beach,1589,4,3,0.02
08/26/2020,Recap,Isle of Palms,1922,36,1,0.37
08/24/2020,Recap,Isle of Palms,1922,20,4,0.46
08/20/2020,Recap,Myrtle Beach,1589,55,1.5,0.52
08/16/2020,Recap,Isle of Palms,Individual (1374),46,2,2.02
08/16/2020,Recap,Myrtle Beach,1589,33,11,1.44
08/12/2020,Recap,Isle of Palms,1922,55,1.5,1.32
08/09/2020,Recap,Isle of Palms,1922,48,1.25,1.96
08/04/2020,Recap,Isle of Palms,1922,80,1.5,5.11
08/02/2020,Recap,Isle of Palms,Individual (1374),31,2.5,2.36
07/26/2020,Recap,Sullivans Island,Individual (1082),1010,0.25,27.91
06/23/2020,Recap,Folly Beach,1979,534,0.75,15.3
06/06/2020,Recap,Hunting Island,1920,12,0.25,1.52
02/22/2020,Recap,Folly Beach,1979,176,3,9.54
01/10/2020,Recap,North Myrtle Beach,Individual (1109),20,1,3.07
