Date,Details,Beach Name/Location,Organization,Items,Volunteer Hours,Weight
10/04/2021,Recap,Garden City Beach,1871,264,1.5,1.64
10/02/2021,Recap,Briarcliffe Acres,1797,1292,12,105.28
10/02/2021,Recap,Folly Beach,1979,25,0.25,0.11
10/02/2021,Recap,North Myrtle Beach,1918,726,88.25,24.29
10/02/2021,Recap,Atlantic Beach,Individual (1057),0,0,NA
10/02/2021,Recap,Windy Hill Beach,1622,1257,12,97.83
10/02/2021,Recap,Windy Hill Beach,Individual (1298),0,0.25,NA
09/29/2021,Recap,Hilton Head Island,Individual (1060),0,0.25,NA
09/28/2021,Recap,Folly Beach,1979,150,2.75,22.42
09/27/2021,Recap,Folly Beach,1979,169,1,15.65
09/27/2021,Recap,Isle of Palms,1922,63,2.5,1.79
09/25/2021,Recap,Sullivans Island,Individual (1269),26,2,3.11
09/25/2021,Recap,Sullivans Island,1542,39,3.25,1.82
09/22/2021,Recap,Folly Beach,1979,146,1,11.93
09/21/2021,Recap,Folly Beach,1979,190,0.5,14.96
09/18/2021,Recap,Sullivans Island,Individual (1110),22,1.5,4.91
09/16/2021,Recap,Folly Beach,1979,75,0.25,5.59
09/10/2021,Recap,Folly Beach,1979,91,8.75,5.98
09/07/2021,Recap,Folly Beach,1979,113,0.25,14.42
09/06/2021,Recap,Folly Beach,1979,342,0.25,34.85
09/05/2021,Recap,Folly Beach,1979,75,3,1.1
09/05/2021,Recap,Sullivans Island,Individual (1157),4,0.5,0.46
09/04/2021,Recap,Folly Beach,1979,150,3,18.77
09/03/2021,Recap,Folly Beach,1979,122,0.25,7.54
09/02/2021,Recap,Folly Beach,1979,302,10.5,21.24
08/30/2021,Recap,Folly Beach,1979,181,6,14.46
08/29/2021,Recap,Folly Beach,1979,184,0.25,12.97
08/28/2021,Recap,Folly Beach,1979,5,1.5,0.02
08/27/2021,Recap,Folly Beach,1979,170,1,12.62
08/26/2021,Recap,Folly Beach,1979,13,0.25,0.44
08/26/2021,Recap,Folly Beach,Individual (1468),122,5,8.36
08/24/2021,Recap,Folly Beach,1979,85,3.75,6.05
08/23/2021,Recap,Folly Beach,1979,214,8.75,18.77
08/22/2021,Recap,Folly Beach,1979,179,9.5,7.14
08/20/2021,Recap,Folly Beach,1979,114,9,9.56
08/20/2021,Recap,Garden City Beach,Individual (1004),65,0.25,2.95
08/19/2021,Recap,Folly Beach,1979,178,8.25,11.23
08/17/2021,Recap,Folly Beach,1979,57,0.25,0.94
08/17/2021,Recap,Surfside Beach,Individual (1004),120,0.25,3.73
08/16/2021,Recap,Folly Beach,1979,108,12.25,8.67
08/16/2021,Recap,Garden City Beach,Individual (1004),104,0.25,1.84
08/15/2021,Recap,Folly Beach,1979,137,13,14.5
08/15/2021,Recap,Isle of Palms,1939,200,3.75,19.45
08/14/2021,Recap,Folly Beach,1979,155,8,9.69
08/14/2021,Recap,Folly Beach,Individual (1468),163,0.25,9.9
08/14/2021,Recap,Isle of Palms,1939,41,1,5.22
08/13/2021,Recap,Folly Beach,1979,306,9.75,26.06
08/12/2021,Recap,Folly Beach,1979,331,12,23.82
08/11/2021,Recap,Garden City Beach,Individual (1369),0,0.25,NA
08/11/2021,Recap,Garden City Beach,1871,675,10,10.85
08/11/2021,Recap,Isle of Palms,Individual (1470),117,2,47.4
08/10/2021,Recap,Folly Beach,Individual (1468),194,0.25,13.53
08/09/2021,Recap,Dewees Island,Individual (1408),0,0,NA
08/09/2021,Recap,Folly Beach,1979,164,0.75,11.94
08/09/2021,Recap,Isle of Palms,1939,62,0.5,28.46
08/08/2021,Recap,Folly Beach,1979,90,2.75,5.31
08/08/2021,Recap,Sullivans Island,Individual (1157),5,0.75,0.75
08/06/2021,Recap,Folly Beach,Individual (1220),0,0.5,NA
